SHOP_ID,COMPANY_ID,SHOP_CD,SHOP_NAME,BUSINESS_STATUS,USE_DATE_BEGIN,ADDRESS,PROVINCE_DISTRICT,LATITUDE,LONGITUDE,OPEN_DATE,END_DATE,SUPERVISOR_AREA,DISTRICT_CODE,SALE_DISTRICT,PUBLISH_FLG,TYPE,CREATE_DATE,CREATE_USER,UPDATE_DATE,UPDATE_USER,DEL_FLG
011205,1,1205,思创大厦,1,2004/5/18,天山路600弄4号,上海市,31.219702,121.403432,2004/5/18,2005/6/18,,0601,上海售价区,0,0,2014/9/25 11:36:00,BAT003,2014/9/25 11:36:00,BAT003,0
011206,1,1206,栖霞路,1,2004/6/28,栖霞路45号,上海市,31.24168,121.52206,2004/6/28,2000/1/1,,0601,上海售价区,0,0,2014/9/25 11:36:00,BAT003,2014/9/25 11:36:00,BAT003,0
011207,1,1207,田州路,1,2004/5/26,田州路99号,上海市徐汇区,31.168878,121.402818,2004/5/26,2014/1/27,,0601,上海售价区,0,0,2014/9/25 11:36:42,BAT003,2014/9/25 11:36:42,BAT003,0
011208,1,1208,徐虹北路,0,2004/5/28,徐虹北路18弄1A室,上海市徐汇区,31.195955,121.433888,2004/5/28,2099/12/31,,0601,上海售价区,0,0,2014/9/25 11:36:42,BAT003,2014/9/25 11:36:42,BAT003,0
011209,1,1209,万都中心,0,2004/5/31,兴义路8号,上海市长宁区,31.210873,121.412115,2004/5/31,2099/12/31,,0601,上海售价区,0,0,2014/9/25 11:36:42,BAT003,2014/9/25 11:36:42,BAT003,0
011210,1,1210,东江湾路,1,2004/6/15,东江湾路500号,上海市虹口区,31.279038,121.486332,2004/6/15,2011/6/27,,0601,上海售价区,0,0,2014/9/25 11:36:43,BAT003,2014/9/25 11:36:43,BAT003,0
011211,1,1211,金浜路,1,2004/6/29,金浜路123号,上海市,31.204077,121.367724,2004/6/29,2006/7/4,,0601,上海售价区,0,0,2014/9/25 11:36:43,BAT003,2014/9/25 11:36:43,BAT003,0
011212,1,1212,江西中路,1,2004/6/30,江西中路270号,上海市,31.243351,121.493423,2004/6/30,2007/3/15,,0601,上海售价区,0,0,2014/9/25 11:36:43,BAT003,2014/9/25 11:36:43,BAT003,0
011213,1,1213,昭化东路,0,2004/7/20,昭化东路106号,上海市长宁区,31.220331,121.442132,2004/7/20,2099/12/31,,0601,上海售价区,0,0,2014/9/25 11:36:44,BAT003,2014/9/25 11:36:44,BAT003,0
011215,1,1215,重庆南路,0,2004/7/27,重庆南路283号,上海市卢湾区,31.215246,121.479837,2004/7/27,2099/12/31,,0601,上海售价区,0,0,2014/9/25 11:36:44,BAT003,2014/9/25 11:36:44,BAT003,0
011216,1,1216,民防大厦,1,2004/7/28,复兴中路593号,上海市,31.220573,121.470453,2004/7/28,2009/7/27,,0601,上海售价区,0,0,2014/9/25 11:36:44,BAT003,2014/9/25 11:36:44,BAT003,0
011217,1,1217,江宁路305号,1,2001/1/1,江宁路305号,上海市,31.239372,121.459654,2001/1/1,2005/7/2,,0601,上海售价区,0,0,2014/9/25 11:36:44,BAT003,2014/9/25 11:36:44,BAT003,0
011218,1,1218,汇翠花园,1,2004/7/28,漕溪北路737号4号楼会所,上海市,31.191584,121.443971,2004/7/28,2000/1/1,,0601,上海售价区,0,0,2014/9/25 11:36:44,BAT003,2014/9/25 11:36:44,BAT003,0
011219,1,1219,半岛花园,1,2004/8/10,西康路1518弄9号1楼西南面,上海市普陀区,31.252847,121.442869,2004/8/10,2007/6/11,,0601,上海售价区,0,0,2014/9/25 11:36:45,BAT003,2014/9/25 11:36:45,BAT003,0
011220,1,1220,桂平路,0,2004/7/31,桂平路131号,上海市徐汇区,31.158137,121.41708,2004/7/31,2099/12/31,,0601,上海售价区,0,0,2014/9/25 11:36:45,BAT003,2014/9/25 11:36:45,BAT003,0
011221,1,1221,瑞虹新城,1,2004/9/17,临平路123号,上海市,31.266496,121.505487,2004/9/17,2000/1/1,,0601,上海售价区,0,0,2014/9/25 11:36:46,BAT003,2014/9/25 11:36:46,BAT003,0
011222,1,1222,畹町路,1,2004/8/27,碗町路62号,上海市,,,2004/8/27,2012/12/18,,0601,上海售价区,0,0,2014/9/25 11:36:46,BAT003,2014/9/25 11:36:46,BAT003,0
011223,1,1223,东体育会路,1,2004/8/17,东体育会路411号甲,上海市,31.283944,121.492024,2004/8/17,2000/1/1,,0601,上海售价区,0,0,2014/9/25 11:36:46,BAT003,2014/9/25 11:36:46,BAT003,0
011225,1,1225,中潭路,0,2004/8/25,中潭路99弄151号,上海市普陀区,31.258093,121.443437,2004/8/25,2099/12/31,,0601,上海售价区,0,0,2014/9/25 11:36:46,BAT003,2014/9/25 11:36:46,BAT003,0
011226,1,1226,中侨学院,1,2004/8/25,川周公路2788号,上海市南汇区,31.15019,121.631041,2004/8/25,2014/6/9,,0601,上海售价区,0,0,2014/9/25 11:36:47,BAT003,2014/9/25 11:36:47,BAT003,0
011227,1,1227,斜徐路,1,2004/8/31,斜徐路557号,上海市,31.213309,121.478814,2004/8/31,2012/9/30,,0601,上海售价区,0,0,2014/9/25 11:36:47,BAT003,2014/9/25 11:36:47,BAT003,0
011228,1,1228,都市路,1,2004/8/31,都市路4202号,上海市,31.096495,121.40416,2004/8/31,2000/1/1,,0601,上海售价区,0,0,2014/9/25 11:36:47,BAT003,2014/9/25 11:36:47,BAT003,0
011229,1,1229,武东路,1,2004/9/23,武东路30号,上海市,31.307415,121.506282,2004/9/23,2012/12/26,,0601,上海售价区,0,0,2014/9/25 11:36:47,BAT003,2014/9/25 11:36:47,BAT003,0
011230,1,1230,瞿溪路,1,2004/10/12,瞿溪路275号,上海市,31.211073,121.49943,2004/10/12,2012/12/3,,0601,上海售价区,0,0,2014/9/25 11:36:48,BAT003,2014/9/25 11:36:48,BAT003,0
011231,1,1231,漓江山水店,1,2004/9/30,华泾路999弄会所,上海市徐汇区,31.124072,121.451792,2004/9/30,2009/9/28,,0601,上海售价区,0,0,2014/9/25 11:36:48,BAT003,2014/9/25 11:36:48,BAT003,0
011232,1,1232,古北路,1,2004/9/28,古北路187号,上海市,31.220159,121.406475,2004/9/28,2007/10/4,,0601,上海售价区,0,0,2014/9/25 11:36:48,BAT003,2014/9/25 11:36:48,BAT003,0
011233,1,1233,太平洋学院,1,2004/9/24,拱北路168号,上海市,31.062799,121.787398,2004/9/24,2008/9/17,,0601,上海售价区,0,0,2014/9/25 11:36:48,BAT003,2014/9/25 11:36:48,BAT003,0
011235,1,1235,凤阳路,1,2004/10/7,凤阳路156号,上海市,31.241151,121.479071,2004/10/7,2011/3/31,,0601,上海售价区,0,0,2014/9/25 11:36:49,BAT003,2014/9/25 11:36:49,BAT003,0
011236,1,1236,雁荡路,1,2004/10/13,雁荡路100号,上海市,31.224752,121.476013,2004/10/13,2009/9/30,,0601,上海售价区,0,0,2014/9/25 11:36:49,BAT003,2014/9/25 11:36:49,BAT003,0
011237,1,1237,富贵东路,1,2004/10/29,富贵东路302号,上海市,31.201093,121.413232,2004/10/29,2008/4/11,,0601,上海售价区,0,0,2014/9/25 11:36:49,BAT003,2014/9/25 11:36:49,BAT003,0
011238,1,1238,罗锦路店,1,2001/1/1,罗锦路884号,上海市闵行区,31.127795,121.405523,2001/1/1,2005/10/21,,0601,上海售价区,0,0,2014/9/25 11:34:03,BAT003,2014/9/25 11:34:03,BAT003,0
011239,1,1239,浙江中路,1,2004/10/27,浙江中路444号,上海市,31.242695,121.484251,2004/10/27,2009/6/29,,0601,上海售价区,0,0,2014/9/25 11:34:03,BAT003,2014/9/25 11:34:03,BAT003,0
011240,1,1240,张江和美店,1,2004/10/19,蔡伦路782号,上海市,31.19932,121.612698,2004/10/19,2012/12/30,,0601,上海售价区,0,0,2014/9/25 11:36:36,BAT003,2014/9/25 11:36:36,BAT003,0
011241,1,1241,宜山路570号,1,2001/1/1,宜山路570号,上海市,31.186883,121.431852,2001/1/1,2005/1/24,,0601,上海售价区,0,0,2014/9/25 11:36:36,BAT003,2014/9/25 11:36:36,BAT003,0
011242,1,1242,香阁丽苑店,1,2004/10/30,双阳北路395弄42幢01室,上海市,31.304605,121.531512,2004/10/30,2011/1/1,,0601,上海售价区,0,0,2014/9/25 11:36:36,BAT003,2014/9/25 11:36:36,BAT003,0
011243,1,1243,上海印象店,1,2001/1/1,罗锦路888弄4支弄18号底层,上海市闵行区,31.127847,121.405115,2001/1/1,2005/12/30,,0601,上海售价区,0,0,2014/9/25 11:36:37,BAT003,2014/9/25 11:36:37,BAT003,0
011245,1,1245,华丽家族,1,2001/1/1,锦秀路666弄,上海市,,,2001/1/1,2005/3/7,,0601,上海售价区,0,0,2014/9/25 11:36:37,BAT003,2014/9/25 11:36:37,BAT003,0
011246,1,1246,国顺东路,0,2005/6/17,国顺东路106号,上海市杨浦区,31.307617,121.543967,2005/6/17,2099/12/31,,0601,上海售价区,0,0,2014/9/25 11:36:37,BAT003,2014/9/25 11:36:37,BAT003,0
