USER_NO,TIME,LONGITUDE,LATITUDE
219,2014/11/27 19:10:26,121.538511,31.220979
219,2014/11/27 19:12:25,121.538511,31.220979
219,2014/11/27 19:14:25,121.538511,31.220979
219,2014/11/27 19:16:25,121.538511,31.220979
219,2014/11/27 19:18:25,121.538525,31.221012
219,2014/11/27 19:20:25,121.538533,31.221018
219,2014/11/27 19:21:45,121.538525,31.221018
219,2014/11/27 19:23:46,121.538525,31.221018
219,2014/11/27 19:25:46,121.538525,31.221018
219,2014/11/27 19:27:46,121.538525,31.221018
219,2014/11/27 19:29:46,121.538525,31.221018
219,2014/11/27 19:31:46,121.538525,31.221018
219,2014/11/27 19:33:46,121.538525,31.221018
219,2014/11/27 19:35:46,121.538525,31.221018
219,2014/11/27 19:37:46,121.538525,31.221018
219,2014/11/27 19:39:46,121.538525,31.221018
219,2014/11/27 19:41:46,121.538525,31.221018
219,2014/11/27 19:43:47,121.538525,31.221018
219,2014/11/27 19:45:47,121.538524,31.22101
219,2014/11/27 19:47:48,121.538499,31.220977
219,2014/11/27 19:49:47,121.538499,31.220977
219,2014/11/27 19:51:47,121.538542,31.220997
219,2014/11/27 19:53:47,121.538524,31.22102
219,2014/11/27 19:55:47,121.538524,31.22102
219,2014/11/27 19:57:47,121.538524,31.22102
219,2014/11/27 19:59:47,121.538524,31.22102
219,2014/11/27 20:01:47,121.538524,31.22102
219,2014/11/27 20:03:48,121.538524,31.22102
219,2014/11/27 20:05:48,121.538524,31.22102
219,2014/11/27 20:07:48,121.538549,31.220988
219,2014/11/27 20:09:48,121.538496,31.220987
219,2014/11/27 20:11:48,121.538399,31.220968
219,2014/11/27 20:13:48,121.538547,31.22104
219,2014/11/27 20:15:48,121.538532,31.220983
219,2014/11/27 20:17:48,121.538532,31.220983
219,2014/11/27 20:19:48,121.538532,31.220983
219,2014/11/27 20:21:48,121.538532,31.220983
219,2014/11/27 20:23:48,121.538532,31.220983
219,2014/11/27 20:24:38,121.538768,31.221221
219,2014/11/27 20:28:38,121.538935,31.220567
219,2014/11/27 20:30:39,121.539637,31.217097
219,2014/11/27 20:32:42,121.525565,31.207015
219,2014/11/27 20:34:42,121.507731,31.214466
219,2014/11/27 20:36:38,121.508745,31.212983
219,2014/11/27 20:38:38,121.488664,31.204925
219,2014/11/27 20:40:46,121.468561,31.196144
219,2014/11/27 20:42:39,121.449904,31.18589
219,2014/11/27 20:44:43,121.441368,31.177478
219,2014/11/27 20:46:39,121.434796,31.162772
219,2014/11/27 20:48:43,121.418235,31.147777
219,2014/11/27 20:50:41,121.39598,31.125929
219,2014/11/27 20:52:39,121.359623,31.116495
219,2014/11/27 20:54:41,121.339469,31.100005
219,2014/11/27 20:56:40,121.321354,31.080969
219,2014/11/27 20:58:39,121.297553,31.059934
219,2014/11/27 21:00:40,121.266591,31.037612
219,2014/11/27 21:02:43,121.236794,31.029241
219,2014/11/27 21:04:41,121.236939,31.030011
219,2014/11/27 21:06:40,121.236722,31.038303
219,2014/11/27 21:08:41,121.23764,31.045162
219,2014/11/27 21:10:41,121.237261,31.044945
219,2014/11/27 21:11:39,121.237863,31.045469
219,2014/11/27 21:13:39,121.23483,31.048505
219,2014/11/27 21:15:40,121.223295,31.049728
219,2014/11/27 21:17:39,121.21299,31.04983
219,2014/11/27 21:19:39,121.192232,31.048256
219,2014/11/27 21:21:37,121.192232,31.048256
219,2014/11/27 21:23:41,121.191487,31.045826
219,2014/11/27 21:26:13,121.191487,31.045826
219,2014/11/27 21:27:39,121.190923,31.046898
219,2014/11/27 21:29:39,121.190923,31.046898
219,2014/11/27 21:31:38,121.190923,31.046898
219,2014/11/27 21:33:39,121.190997,31.046862
219,2014/11/27 21:35:39,121.191271,31.046674
219,2014/11/27 21:37:38,121.191271,31.046674
219,2014/11/27 21:39:39,121.191271,31.046674
219,2014/11/27 21:41:40,121.190938,31.046894
219,2014/11/27 21:43:39,121.190938,31.046894
219,2014/11/27 21:45:39,121.190938,31.046894
219,2014/11/27 21:47:40,121.190938,31.046894
219,2014/11/27 21:49:40,121.190938,31.046894
219,2014/11/27 21:51:40,121.190938,31.046894
219,2014/11/27 21:53:40,121.190938,31.046894
219,2014/11/27 21:55:40,121.190926,31.046905
219,2014/11/27 21:56:34,121.190931,31.046899
219,2014/11/27 21:58:35,121.190931,31.046899
219,2014/11/27 22:00:35,121.190931,31.046899
219,2014/11/27 22:02:35,121.190931,31.046899
219,2014/11/27 22:04:35,121.191013,31.04683
219,2014/11/27 22:06:35,121.190945,31.046832
219,2014/11/27 22:08:35,121.191112,31.046755
219,2014/11/27 22:10:35,121.191058,31.046763
219,2014/11/27 22:12:35,121.191021,31.046787
219,2014/11/27 22:14:36,121.191018,31.046793
219,2014/11/27 22:16:35,121.191018,31.046793
219,2014/11/27 22:18:36,121.191097,31.046786
219,2014/11/27 22:20:36,121.190936,31.046909
219,2014/11/27 22:22:36,121.190936,31.046909
219,2014/11/27 22:24:36,121.190936,31.046909
219,2014/11/27 22:26:36,121.191069,31.046774
219,2014/11/27 22:28:36,121.191069,31.046774
219,2014/11/27 22:30:36,121.191069,31.046774
219,2014/11/27 22:32:36,121.191069,31.046774
219,2014/11/27 22:34:36,121.191069,31.046774
219,2014/11/27 22:36:36,121.191069,31.046774
219,2014/11/27 22:37:53,121.190908,31.04686
219,2014/11/27 22:39:54,121.190908,31.04686
219,2014/11/27 22:41:54,121.191022,31.046774
219,2014/11/27 22:43:54,121.190921,31.046892
219,2014/11/27 22:45:54,121.190921,31.046892
219,2014/11/27 22:47:54,121.190921,31.046892
219,2014/11/27 22:49:55,121.190921,31.046892
219,2014/11/27 22:51:55,121.190921,31.046892
219,2014/11/27 22:53:55,121.190921,31.046892
219,2014/11/27 22:55:55,121.190921,31.046892
219,2014/11/27 22:57:55,121.190921,31.046892
219,2014/11/27 22:59:55,121.190921,31.046892
219,2014/11/27 23:01:55,121.190921,31.046892
219,2014/11/27 23:03:55,121.190921,31.046892
219,2014/11/27 23:05:55,121.190921,31.046892
219,2014/11/27 23:07:56,121.190921,31.046892
219,2014/11/27 23:09:56,121.190921,31.046892
219,2014/11/27 23:11:56,121.190921,31.046892
219,2014/11/27 23:13:56,121.190921,31.046892
219,2014/11/27 23:15:56,121.190921,31.046892
219,2014/11/27 23:17:56,121.190921,31.046892
219,2014/11/27 23:19:56,121.190921,31.046892
219,2014/11/27 23:21:57,121.191073,31.046784
219,2014/11/27 23:23:56,121.191073,31.046784
219,2014/11/27 23:25:56,121.191073,31.046784
219,2014/11/27 23:27:57,121.191159,31.046728
219,2014/11/27 23:29:57,121.191113,31.046759
219,2014/11/27 23:31:57,121.191113,31.046759
219,2014/11/27 23:33:57,121.191113,31.046759
219,2014/11/27 23:35:57,121.191113,31.046759
219,2014/11/27 23:37:57,121.191113,31.046759
219,2014/11/27 23:39:57,121.191113,31.046759
219,2014/11/27 23:41:57,121.191113,31.046759
219,2014/11/27 23:43:56,121.191113,31.046759
219,2014/11/27 23:45:57,121.191113,31.046759
219,2014/11/27 23:47:57,121.191113,31.046759
219,2014/11/27 23:49:56,121.191113,31.046759
219,2014/11/27 23:58:10,121.191112,31.04676
219,2014/11/28 00:00:11,121.191112,31.04676
219,2014/11/28 00:02:11,121.191112,31.04676
219,2014/11/28 00:04:11,121.191112,31.04676
219,2014/11/28 00:06:11,121.191112,31.04676
219,2014/11/28 00:08:11,121.191112,31.04676
219,2014/11/28 00:10:11,121.191106,31.046762
219,2014/11/28 00:12:11,121.19122,31.046702
219,2014/11/28 00:14:11,121.19111,31.046761
219,2014/11/28 00:16:12,121.191201,31.046711
219,2014/11/28 00:18:12,121.19113,31.046738
219,2014/11/28 00:20:12,121.191158,31.046728
219,2014/11/28 00:22:12,121.191158,31.046728
219,2014/11/28 00:24:12,121.191158,31.046728
219,2014/11/28 00:26:12,121.191158,31.046728
219,2014/11/28 00:28:12,121.191158,31.046728
219,2014/11/28 00:30:12,121.191158,31.046728
219,2014/11/28 00:32:12,121.191158,31.046728
219,2014/11/28 00:34:12,121.191158,31.046728
219,2014/11/28 00:36:12,121.191158,31.046728
219,2014/11/28 00:38:12,121.191158,31.046728
219,2014/11/28 00:40:12,121.191158,31.046728
219,2014/11/28 00:42:13,121.191158,31.046728
219,2014/11/28 00:44:13,121.191158,31.046728
219,2014/11/28 00:46:13,121.191158,31.046728
219,2014/11/28 00:48:13,121.191158,31.046728
219,2014/11/28 00:50:32,121.191131,31.046796
219,2014/11/28 00:52:32,121.191131,31.046796
219,2014/11/28 00:54:33,121.191131,31.046796
219,2014/11/28 00:56:33,121.191131,31.046796
219,2014/11/28 00:58:33,121.191131,31.046796
219,2014/11/28 01:00:33,121.191131,31.046796
219,2014/11/28 01:02:33,121.191131,31.046796
219,2014/11/28 01:04:33,121.191131,31.046796
219,2014/11/28 01:06:33,121.191131,31.046796
219,2014/11/28 01:08:33,121.191131,31.046796
219,2014/11/28 01:10:33,121.191131,31.046796
219,2014/11/28 01:12:33,121.191131,31.046796
219,2014/11/28 01:14:34,121.191131,31.046796
219,2014/11/28 01:16:34,121.191131,31.046796
219,2014/11/28 01:18:34,121.191131,31.046796
219,2014/11/28 01:20:34,121.191131,31.046796
219,2014/11/28 01:22:34,121.191131,31.046796
219,2014/11/28 01:24:34,121.191131,31.046796
219,2014/11/28 01:26:34,121.191131,31.046796
219,2014/11/28 01:28:34,121.191131,31.046796
219,2014/11/28 01:30:34,121.191131,31.046796
219,2014/11/28 01:32:34,121.191131,31.046796
